Id,reassignment_count,reopen_count,update_count,made_sla,opened_by,opened_at,contact_type,location,category,subcategory,impact,urgency,priority,assigned_to,knowledge,notify,vendor,target_days
INC0000045,0,0,0,True,Opened by  8,2016-02-29 01:16:00,Phone,Location 143,Category 55,Subcategory 170,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000047,0,0,0,True,Opened by  397,2016-02-29 04:40:00,Phone,Location 165,Category 40,Subcategory 215,2 - Medium,2 - Medium,3 - Moderate,Resolver 89,True,Do Not Notify,,6
INC0000057,0,0,0,True,Opened by  8,2016-02-29 06:10:00,Phone,Location 204,Category 20,Subcategory 125,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000060,0,0,0,True,Opened by  180,2016-02-29 06:38:00,Phone,Location 204,Category 9,Subcategory 97,2 - Medium,2 - Medium,3 - Moderate,Resolver 125,True,Do Not Notify,,7
INC0000062,0,0,0,True,Opened by  180,2016-02-29 06:58:00,Phone,Location 93,Category 53,Subcategory 168,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000063,0,0,0,True,Opened by  180,2016-02-29 07:08:00,Phone,Location 93,Category 20,Subcategory 125,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000064,0,0,0,True,Opened by  131,2016-02-29 07:10:00,Phone,Location 143,Category 53,Subcategory 168,2 - Medium,2 - Medium,3 - Moderate,Resolver 78,True,Do Not Notify,,8
INC0000065,0,0,0,True,Opened by  131,2016-02-29 07:38:00,Phone,Location 108,Category 44,Subcategory 229,2 - Medium,2 - Medium,3 - Moderate,Resolver 216,True,Do Not Notify,,7
INC0000066,0,0,0,True,Opened by  24,2016-02-29 08:03:00,Phone,Location 161,Category 55,Subcategory 185,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000067,0,0,0,True,Opened by  180,2016-02-29 08:03:00,Phone,Location 143,Category 9,Subcategory 110,2 - Medium,2 - Medium,3 - Moderate,Resolver 236,True,Do Not Notify,,7
INC0000070,0,0,0,True,Opened by  131,2016-02-29 08:11:00,Phone,Location 46,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Resolver 31,True,Do Not Notify,,24
INC0000071,0,0,0,True,Opened by  180,2016-02-29 08:12:00,Phone,Location 161,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Resolver 249,True,Do Not Notify,,6
INC0000073,0,0,0,True,Opened by  40,2016-02-29 08:22:00,Phone,Location 42,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,6
INC0000074,0,0,0,True,Opened by  433,2016-02-29 08:23:00,Phone,Location 204,Category 45,Subcategory 220,2 - Medium,2 - Medium,3 - Moderate,Resolver 193,True,Do Not Notify,,47
INC0000076,0,0,0,True,Opened by  180,2016-02-29 08:25:00,Phone,Location 93,Category 42,Subcategory 224,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000077,0,0,0,True,Opened by  180,2016-02-29 08:27:00,Phone,Location 108,Category 32,Subcategory 9,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000079,0,0,0,True,Opened by  180,2016-02-29 08:32:00,Phone,Location 204,Category 8,Subcategory 291,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000080,0,0,0,True,Opened by  24,2016-02-29 08:33:00,Phone,Location 229,Category 32,Subcategory 9,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000083,0,0,0,True,Opened by  131,2016-02-29 08:39:00,Phone,Location 93,Category 24,Subcategory 164,3 - Low,3 - Low,4 - Low,,True,Do Not Notify,,5
INC0000084,0,0,0,True,Opened by  433,2016-02-29 08:39:00,Phone,Location 204,Category 45,Subcategory 220,3 - Low,3 - Low,4 - Low,Resolver 175,True,Do Not Notify,,48
INC0000085,0,0,0,True,Opened by  180,2016-02-29 08:41:00,Phone,Location 161,Category 20,Subcategory 125,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000086,0,0,0,True,Opened by  24,2016-02-29 08:43:00,Phone,Location 93,Category 24,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,6
INC0000087,0,0,0,True,Opened by  180,2016-02-29 08:47:00,Phone,Location 69,Category 53,Subcategory 194,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000088,0,0,0,True,Opened by  180,2016-02-29 08:48:00,Phone,Location 93,Category 42,Subcategory 224,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000089,0,0,0,True,Opened by  180,2016-02-29 08:51:00,Phone,Location 108,Category 42,Subcategory 106,2 - Medium,3 - Low,4 - Low,Resolver 97,True,Do Not Notify,,8
INC0000092,0,0,0,True,Opened by  40,2016-02-29 08:55:00,Phone,Location 172,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,12
INC0000093,0,0,0,True,Opened by  131,2016-02-29 08:56:00,Phone,Location 93,Category 61,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000094,0,0,0,True,Opened by  433,2016-02-29 08:58:00,Phone,Location 204,Category 45,Subcategory 220,3 - Low,3 - Low,4 - Low,Resolver 193,True,Do Not Notify,,24
INC0000098,0,0,0,True,Opened by  24,2016-02-29 09:02:00,Phone,Location 108,Category 20,Subcategory 125,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000099,0,0,0,True,Opened by  180,2016-02-29 09:03:00,Phone,Location 51,Category 24,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Resolver 201,True,Do Not Notify,,6
INC0000100,0,0,0,True,Opened by  40,2016-02-29 09:05:00,Phone,Location 161,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000101,0,0,0,True,Opened by  180,2016-02-29 09:05:00,Phone,Location 143,Category 42,Subcategory 224,2 - Medium,3 - Low,4 - Low,Resolver 180,True,Do Not Notify,,5
INC0000102,0,0,0,True,Opened by  131,2016-02-29 09:06:00,Phone,Location 46,Category 37,Subcategory 135,2 - Medium,2 - Medium,3 - Moderate,Resolver 31,True,Do Not Notify,,24
INC0000103,0,0,0,True,Opened by  180,2016-02-29 09:07:00,Phone,Location 108,Category 53,Subcategory 194,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000104,0,0,0,True,Opened by  180,2016-02-29 09:08:00,Phone,Location 51,Category 26,Subcategory 175,2 - Medium,2 - Medium,3 - Moderate,Resolver 201,True,Do Not Notify,,6
INC0000105,0,0,0,True,Opened by  180,2016-02-29 09:10:00,Phone,Location 93,Category 45,Subcategory 223,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000110,0,0,0,True,Opened by  40,2016-02-29 09:13:00,Phone,Location 108,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000111,0,0,0,True,Opened by  180,2016-02-29 09:14:00,Phone,Location 93,Category 53,Subcategory 130,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000112,0,0,0,True,Opened by  131,2016-02-29 09:15:00,Phone,Location 93,Category 37,Subcategory 135,2 - Medium,2 - Medium,3 - Moderate,Resolver 215,True,Do Not Notify,,7
INC0000113,0,0,0,True,Opened by  24,2016-02-29 09:18:00,Phone,Location 204,Category 55,Subcategory 23,2 - Medium,2 - Medium,3 - Moderate,Resolver 227,True,Do Not Notify,,7
INC0000114,0,0,0,True,Opened by  180,2016-02-29 09:18:00,Phone,Location 161,Category 53,Subcategory 194,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000115,0,0,0,True,Opened by  131,2016-02-29 09:20:00,Phone,Location 161,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Resolver 89,True,Do Not Notify,,5
INC0000116,0,0,0,True,Opened by  180,2016-02-29 09:20:00,Phone,Location 108,Category 37,Subcategory 135,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,6
INC0000119,0,0,0,True,Opened by  180,2016-02-29 09:22:00,Phone,Location 161,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Resolver 89,True,Do Not Notify,,6
INC0000121,0,0,0,True,Opened by  40,2016-02-29 09:25:00,Phone,Location 93,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000122,0,0,0,True,Opened by  24,2016-02-29 09:27:00,Phone,Location 44,Category 45,Subcategory 47,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,6
INC0000123,0,0,0,True,Opened by  180,2016-02-29 09:29:00,Phone,Location 108,Category 53,Subcategory 194,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000124,0,0,0,True,Opened by  40,2016-02-29 09:30:00,Phone,Location 108,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,Resolver 159,True,Do Not Notify,,5
INC0000125,0,0,0,True,Opened by  131,2016-02-29 09:31:00,Phone,Location 108,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Resolver 170,True,Do Not Notify,,5
INC0000126,0,0,0,True,Opened by  180,2016-02-29 09:31:00,Phone,Location 142,Category 53,Subcategory 127,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000128,0,0,0,True,Opened by  131,2016-02-29 09:36:00,Phone,Location 36,Category 44,Subcategory 54,2 - Medium,2 - Medium,3 - Moderate,Resolver 99,True,Do Not Notify,,24
INC0000129,0,0,0,True,Opened by  180,2016-02-29 09:40:00,Phone,Location 229,Category 23,Subcategory 75,2 - Medium,2 - Medium,3 - Moderate,Resolver 253,True,Do Not Notify,,27
